canonical_smiles,name,smiles,inchi_key,sources,source_ids,in_dilirank,dilirank_category,in_tdc_dili_pos,known_hepatotoxic
CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C=C(C)C4=Cc5c(cnn5-c5ccccc5)C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,cortivazol,C[C@@H]1C[C@H]2[C@@H]3C=C(C)C4=CC5=C(C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O)C=NN5C1=CC=CC=C1,RKHQGWMMUURILY-UHRZLXHJSA-N,drugcentral;pubchem,736;66249,0,unknown,0,0
CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,DEXAMETHASONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,AKUJBENLRBOFTD-RPRRAYFGSA-N,chembl;drugcentral;pubchem,CHEMBL1530428;826;236702,1,Ambiguous-DILI-Concern,0,0
CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,PARAMETHASONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,HYRKAAMZBDSJFJ-LFDBJOOHSA-N,chembl;drugcentral;pubchem,CHEMBL1200342;2060;443928,0,unknown,0,0
CC(=O)OCC(=O)[C@@]1(O)[C@H](OC(C)=O)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,TRIAMCINOLONE DIACETATE,CC(=O)OCC(=O)[C@@]1(O)[C@H](OC(C)=O)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,XGMPVBXKDAHORN-RBWIMXSLSA-N,chembl;drugcentral,CHEMBL1200449;2727,0,unknown,0,0
CC(=O)OCC(=O)[C@@]1(OC(=O)C(C)C)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,betamethasone acibutate,CC(C)C(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)COC(C)=O,KGNVBESWWSSQAN-QEVRMTOFSA-N,drugcentral,350,0,unknown,0,0
CC(=O)OCC(=O)[C@@]1(OC(=O)c2ccco2)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,dexamethasone acefurate,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)C1=CC=CO1)C(=O)COC(C)=O,DDIWRLSEGOVQQD-BJRLRHTOSA-N,drugcentral,825,0,unknown,0,0
CC(=O)OCC(=O)[C@@]1(OC(C)=O)CC[C@H]2[C@@H]3C[C@@H](F)C4=CC(=O)C(Br)=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,halopredone acetate,CC(=O)OCC(=O)[C@]1(CC[C@H]2[C@@H]3C[C@@H](F)C4=CC(=O)C(Br)=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)OC(C)=O,YCISZOVUHXIOFY-HKXOFBAYSA-N,drugcentral,1354,0,unknown,0,0
CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,DIFLORASONE DIACETATE,CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,BOBLHFUVNSFZPJ-JOYXJVLSSA-N,chembl;drugcentral,CHEMBL1200545;4485,0,unknown,0,0
CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,fluazacort,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C,BYZCJOHDXLROEC-RBWIMXSLSA-N,drugcentral,3231,0,unknown,0,0
CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,DEFLAZACORT,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,FBHSPRKOSMHSIF-GRMWVWQJSA-N,chembl;drugcentral;pubchem,CHEMBL1201891;793;189821,1,vNo-DILI-Concern,0,0
CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CC(C=O)=C4C=C(OCCCl)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,formocortal,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CC(C=O)=C4C=C(CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C)OCCCl,QNXUUBBKHBYRFW-QWAPGEGQSA-N,drugcentral;pubchem,3245;289085,0,unknown,0,0
CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,FLUOCINONIDE,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,WJOHZNCJWYWUJD-IUGZLZTKSA-N,chembl;drugcentral;pubchem,CHEMBL1501;1205;9642,0,unknown,0,0
CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,Flunisolide Acetate,CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@H]4[C@H]3C[C@@H](C5=CC(=O)C=C[C@]45C)F)O)C)OC(O2)(C)C,WEGNFRKBIKYVLC-XTLNBZDDSA-N,pubchem,23724908,0,unknown,0,0
CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,Flurandrenolide Acetate,CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@H]4[C@H]3C[C@@H](C5=CC(=O)CC[C@]45C)F)O)C)OC(O2)(C)C,AUDPKCCPWYXNEV-XTLNBZDDSA-N,pubchem,102333,0,unknown,0,0
CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,AMCINONIDE,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,ILKJAFIWWBXGDU-MOGDOJJUSA-N,chembl;drugcentral;pubchem,CHEMBL1200732;150;443958,0,unknown,0,0
CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,artisone acetate,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,MDJRZSNPHZEMJH-MTMZYOSNSA-N,drugcentral,33,0,unknown,0,0
CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,DESOXYCORTICOSTERONE ACETATE,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,VPGRYOFKCNULNK-ACXQXYJUSA-N,chembl;drugcentral;pubchem,CHEMBL1200542;821;5952,0,unknown,0,0
