canonical_smiles,inchi_key,name,source_label
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,ULGZDMOVFRHVEP-UHFFFAOYSA-N,erythromycin,dilist
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,VJJPUSNTGOMMGY-UHFFFAOYSA-N,etoposide,dilist
N=C(CCSCc1csc(N=C(N)N)n1)NS(N)(=O)=O,XUFQPHANEAPEMJ-UHFFFAOYSA-N,famotidine,dilist
NC(=O)OCC(COC(N)=O)c1ccccc1,WKGXYQFOCVYPAC-UHFFFAOYSA-N,felbamate,dilist
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,YMTINGFKWWXKFG-UHFFFAOYSA-N,fenofibrate,dilist
CC(C(=O)O)c1cccc(Oc2ccccc2)c1,RDJGLLICXDHJDY-UHFFFAOYSA-N,fenoprofen,dilist
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,MKXKFYHWDHIYRV-UHFFFAOYSA-N,flutamide,dilist
NC(O)=NO,VSNHCAURESNICA-UHFFFAOYSA-N,hydroxyurea,dilist
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,KTUFNOKKBVMGRW-UHFFFAOYSA-N,imatinib,dilist
CN(C)CCCN1c2ccccc2CCc2ccccc21,BCGWQEUPMDMJNV-UHFFFAOYSA-N,imipramine,dilist
CC(C)NNC(=O)c1ccncc1,NYMGNSNKLVNMIA-UHFFFAOYSA-N,iproniazid,dilist
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,XMAYWYJOQHXEEK-UHFFFAOYSA-N,ketoconazole,dilist
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,SGUAFYQXFOLMHL-UHFFFAOYSA-N,labetalol,dilist
Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,VHOGYURTWQBHIL-UHFFFAOYSA-N,leflunomide,dilist
Cc1cccc(Nc2ccccc2C(=O)O)c1C,HYYBABOKPJLUIN-UHFFFAOYSA-N,mefenamic acid,dilist
Cc1cnc(NC(=O)C2C(=O)c3ccccc3S(=O)(=O)N2C)s1,ZAHQBPYQBHTECE-UHFFFAOYSA-N,meloxicam,dilist
CN(C)C(N)=NC(=N)N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,metformin,dilist
CC(N)(Cc1ccc(O)c(O)c1)C(=O)O,CJCSPKMFHVPWAR-UHFFFAOYSA-N,methyldopa,dilist
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,VRBKIVRKKCLPHA-UHFFFAOYSA-N,nefazodone,dilist
O=c1[nH]c(O)cn1N=Cc1ccc([N+](=O)[O-])o1,ZSPWEUZMDXEYMX-UHFFFAOYSA-N,nitrofurantoin,dilist
O=C(O)c1cc(N=Nc2ccc(O)c(C(=O)O)c2)ccc1O,QQBDLJCYGRGAKP-UHFFFAOYSA-N,olsalazine,dilist
Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1,AHOUBRCZNHFOSL-UHFFFAOYSA-N,paroxetine,dilist
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,XDRYMKDFEDOLFX-UHFFFAOYSA-N,pentamidine,dilist
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,CYXKNKQEMFBLER-UHFFFAOYSA-N,perhexiline,dilist
CCc1ccc(CCOc2ccc(Cc3sc(=O)[nH]c3O)cc2)nc1,IYYGBZJXHJSLEV-UHFFFAOYSA-N,pioglitazone,dilist
CCCc1cc(=O)[nH]c(=S)[nH]1,KNAHARQHSZJURB-UHFFFAOYSA-N,propylthiouracil,dilist
CN=C(C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,SYNOVMDJYWJCON-UHFFFAOYSA-N,ranitidine,dilist
COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c5c(c4c3C2=O)=NC2(CCN(CC(C)C)CC2)N=5)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,AZFBLLCNOQPJGJ-UHFFFAOYSA-N,rifabutin,dilist
CN(CCOc1ccc(Cc2sc(=O)[nH]c2O)cc1)c1ccccn1,FLDPBMANMDLQTH-UHFFFAOYSA-N,rosiglitazone,dilist
