name,canonical_smiles,smiles,inchi_key,sources,source_ids,in_dilirank,dilirank_category,in_tdc_dili_pos,sider_terms,known_hepatotoxic
GLIPIZIDE,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,ZJJXGWJIGJFDTL-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL1073;1301;3478,1,vLess-DILI-Concern,0,,1
MELOXICAM,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,ZRVUJXDFFKFLMG-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL599;1676;54677470,1,vLess-DILI-Concern,0,,1
ALPELISIB,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,STUWGJZDJHPWGZ-LBPRGKRZSA-N,chembl;drugcentral;pubchem,CHEMBL2396661;5328;56649450,1,vLess-DILI-Concern,0,,1
RISPERIDONE,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,RAPZEAPATHNIPO-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL85;2389;5073,1,vLess-DILI-Concern,0,,1
PALIPERIDONE,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,PMXMIIMHBWHSKN-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL1621;4137;115237,1,vLess-DILI-Concern,0,,1
alosetron,Cc1nc[nH]c1CN1CCc2c(c3ccccc3n2C)C1=O,CN1C2=C(C3=C1C=CC=C3)C(=O)N(CC1=C(C)N=CN1)CC2,JSWZEAMFRNKZNL-UHFFFAOYSA-N,drugcentral,129,1,vLess-DILI-Concern,0,,1
METRONIDAZOLE,Cc1ncc([N+](=O)[O-])n1CCO,Cc1ncc([N+](=O)[O-])n1CCO,VAOCPAMSLUNLGC-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL137;CHEMBL1200869;1790;4173,1,vLess-DILI-Concern,1,,1
ONDANSETRON,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,FELGMEQIXOGIFQ-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL46;CHEMBL3186492;1992;4595,1,vLess-DILI-Concern,0,,1
CEFAZOLIN,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,MLYYVTUWGNIJIB-BXKDBHETSA-N,chembl;drugcentral;pubchem,CHEMBL1435;CHEMBL1200523;530;33255,1,vLess-DILI-Concern,0,,1
ALPRAZOLAM,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,VREFGVBLTWBCJP-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL661;136;2118,1,vLess-DILI-Concern,0,,1
DICLOXACILLIN,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,YFAGHNZHGGCZAX-JKIFEVAISA-N,chembl;drugcentral;pubchem,CHEMBL893;CHEMBL1200701;866;18381,1,vLess-DILI-Concern,0,,1
OXACILLIN,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,UWYHMGVUTGAWSP-JKIFEVAISA-N,chembl;drugcentral;pubchem,CHEMBL819;CHEMBL3989567;2006;6196,1,vLess-DILI-Concern,0,,1
CLOXACILLIN,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,LQOLIRLGBULYKD-JKIFEVAISA-N,chembl;drugcentral;pubchem,CHEMBL891;CHEMBL1200388;720;6098,1,vLess-DILI-Concern,0,,1
DESLORATADINE,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,JAUOIFJMECXRGI-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL1172;814;124087,1,vLess-DILI-Concern,0,,1
CLOTRIMAZOLE,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,VNFPBHJOKIVQEB-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL104;719;2812,1,vLess-DILI-Concern,0,,1
TEMOZOLOMIDE,Cn1nnc2c(C(N)=O)ncn2c1=O,Cn1nnc2c(C(N)=O)ncn2c1=O,BPEGJWRSRHCHSN-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL810;2589;5394,1,vLess-DILI-Concern,0,,1
PAROXETINE,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,AHOUBRCZNHFOSL-YOEHRIQHSA-N,chembl;drugcentral;pubchem,CHEMBL490;CHEMBL1200609;CHEMBL6067650;2068;43815,1,vLess-DILI-Concern,0,,1
LETROZOLE,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,HPJKCIUCZWXJDR-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL1444;1556;3902,1,vLess-DILI-Concern,1,,1
AMILORIDE,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,XSDQTOBWRPYKKA-UHFFFAOYSA-N,chembl;drugcentral,CHEMBL945;CHEMBL1398126;158,1,vLess-DILI-Concern,0,,1
famotidine,N=C(N)Nc1nc(CSCCC(=N)NS(N)(=O)=O)cs1,NC(=N)NC1=NC(CSCCC(=N)NS(N)(=O)=O)=CS1,XUFQPHANEAPEMJ-UHFFFAOYSA-N,drugcentral,1129,1,vLess-DILI-Concern,0,,1
modafinil,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1,NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,YFGHCGITMMYXAQ-UHFFFAOYSA-N,drugcentral;pubchem,1826;4236,1,vLess-DILI-Concern,0,,1
MODAFINIL,NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1,NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1,YFGHCGITMMYXAQ-UHFFFAOYSA-N,chembl,CHEMBL1373,1,vLess-DILI-Concern,0,,1
OXCARBAZEPINE,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,CTRLABGOLIVAIY-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL1068;2017;34312,1,vLess-DILI-Concern,0,,1
PYRAZINAMIDE,NC(=O)c1cnccn1,NC(=O)c1cnccn1,IPEHBUMCGVEMRF-UHFFFAOYSA-N,chembl;drugcentral;pubchem,CHEMBL614;2328;1046,1,vLess-DILI-Concern,0,,1
RIBAVIRIN,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,IWUCXVSUMQZMFG-AFCXAGJDSA-N,chembl;drugcentral;pubchem,CHEMBL1643;2373;37542,1,vLess-DILI-Concern,0,,1
