name,smiles,canonical_smiles,inchi_key,sources,source_ids,sider_terms,in_dilirank,dilirank_category,in_tdc_dili_pos,known_hepatotoxic
Glipizide,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,ZJJXGWJIGJFDTL-UHFFFAOYSA-N,sider,3478,Hepatic function abnormal;Hepatitis;Hepatocellular injury;Jaundice;Jaundice cholestatic;Liver disorder;Liver injury;Traumatic liver injury,0,unknown,0,1
Glibenclamide,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,sider,3488,Cholestasis;Granulomatous liver disease;Hepatic failure;Hepatic function abnormal;Hepatitis;Hepatitis cholestatic;Jaundice;Jaundice cholestatic,0,unknown,0,1
(3H)granisetron,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,MFWNKCLOYSRHCJ-UHFFFAOYSA-N,sider,3510,Alanine aminotransferase increased;Aspartate aminotransferase increased;Coma hepatic;Gamma-glutamyltransferase increased;Hepatic enzyme increased;Hepatocellular injury;Jaundice;Liver function test abnormal;Liver injury,0,unknown,0,1
Gris-peg,CC1CC(=O)C=C(C12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,DDUHZTYCFQRHIY-UHFFFAOYSA-N,sider,3512,Hepatic enzyme increased;Hepatitis,0,unknown,0,1
"2-[(2,6-Dichlorophenyl)methylideneamino]guanidine",C1=CC(=C(C(=C1)Cl)C=NN=C(N)N)Cl,NC(N)=NN=Cc1c(Cl)cccc1Cl,WDZVGELJXXEGPV-UHFFFAOYSA-N,sider,3517,Liver function test abnormal,0,unknown,0,1
Guanfacine,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl,NC(N)=NC(=O)Cc1c(Cl)cccc1Cl,INJOMKTZOLKMBF-UHFFFAOYSA-N,sider,3519,Alanine aminotransferase increased;Liver function test abnormal,0,unknown,0,1
Guanidine,C(=N)(N)N,N=C(N)N,ZRALSGWEFCBTJO-UHFFFAOYSA-N,sider,3520,Liver function test abnormal,0,unknown,0,1
Haloperidol,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,LNEPOXFFQSENCJ-UHFFFAOYSA-N,sider,3559,Acute hepatic failure;Cholestasis;Hepatic function abnormal;Hepatitis;Jaundice;Liver function test abnormal,0,unknown,0,1
Hydralazine,C1=CC=C2C(=C1)C=NN=C2NN,NNc1nncc2ccccc12,RPTUSVTUFVMDQK-UHFFFAOYSA-N,sider,3637,Hepatic function abnormal;Hepatitis;Hepatomegaly;Jaundice,0,unknown,0,1
Hydrochlorothiazide,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,JZUFKLXOESDKRF-UHFFFAOYSA-N,sider,3639,Hepatitis;Jaundice;Jaundice cholestatic,0,unknown,0,1
